Aux Position (J=X5),Sys Position (J=X5),Aux Velocity (J=X5),Sys Velocity (J=X5),Aux Position (J=X0),Sys Position (J=X0),Aux Velocity (J=X0),Sys Velocity (J=X0),Target Position (J=X5),Target Position (J=X0),Change Position (J=X5),Change Position (J=X0),Original Change Position (J=X5),Original Change Position (J=X0),Pos Func Position (J=X5),Pos Func Position (J=X0)
1.0,1.0,801.0,790.0,-372.0,-372.0,801.0,790.0,-373.0,0.0,373.0,373.0,373.0,373.0,0.00125,0.00125
2.0,2.0,802.0,780.0,-371.0,-371.0,802.0,780.0,-373.0,0.0,372.0,372.0,372.0,372.0,0.001266,0.001266
3.0,3.0,803.0,770.0,-370.0,-370.0,803.0,770.0,-373.0,0.0,371.0,371.0,371.0,371.0,0.001282,0.001282
4.0,4.0,804.0,760.0,-369.0,-369.0,804.0,760.0,-373.0,0.0,370.0,370.0,370.0,370.0,0.001299,0.001299
5.0,5.0,805.0,750.0,-368.0,-368.0,805.0,750.0,-373.0,0.0,369.0,369.0,369.0,369.0,0.001316,0.001316
6.0,6.0,806.0,740.0,-367.0,-367.0,806.0,740.0,-373.0,0.0,368.0,368.0,368.0,368.0,0.001333,0.001333
7.0,7.0,807.0,730.0,-366.0,-366.0,807.0,730.0,-373.0,0.0,367.0,367.0,367.0,367.0,0.001351,0.001351
8.0,8.0,808.0,720.0,-365.0,-365.0,808.0,720.0,-373.0,0.0,366.0,366.0,366.0,366.0,0.00137,0.00137
9.0,9.0,809.0,710.0,-364.0,-364.0,809.0,710.0,-373.0,0.0,365.0,365.0,365.0,365.0,0.001389,0.001389
10.0,10.0,810.0,700.0,-363.0,-363.0,810.0,700.0,-373.0,0.0,364.0,364.0,364.0,364.0,0.001408,0.001408
11.0,11.0,811.0,690.0,-362.0,-362.0,811.0,690.0,-373.0,0.0,363.0,363.0,363.0,363.0,0.001429,0.001429
12.0,12.0,812.0,680.0,-361.0,-361.0,812.0,680.0,-373.0,0.0,362.0,362.0,362.0,362.0,0.001449,0.001449
13.0,13.0,813.0,670.0,-360.0,-360.0,813.0,670.0,-373.0,0.0,361.0,361.0,361.0,361.0,0.001471,0.001471
